Type,Frequency,Rank
the,34810,1
of,20427,2
and,16275,3
to,13912,4
in,11449,5
a,10514,6
that,6546,7
is,6424,8
for,4640,9
as,4231,10
it,3721,11
on,3436,12
are,3161,13
s,3032,14
this,2991,15
by,2883,16
with,2817,17
be,2514,18
we,2305,19
not,2276,20
have,2192,21
from,2187,22
their,2066,23
or,2033,24
was,2000,25
an,1965,26
but,1906,27
has,1896,28
at,1889,29
they,1832,30
social,1683,31
which,1538,32
people,1399,33
more,1335,34
political,1275,35
who,1244,36
its,1236,37
can,1213,38
i,1180,39
one,1174,40
state,1172,41
all,1144,42
been,1070,43
new,1061,44
what,1055,45
were,1046,46
these,1042,47
will,1003,48
our,1002,49
there,997,50
would,952,51
about,915,52
government,891,53
us,879,54
he,845,55
other,836,56
also,835,57
so,808,58
into,803,59
power,801,60
only,794,61
if,783,62
some,759,63
such,748,64
you,746,65
how,739,66
public,729,67
democracy,724,68
no,710,69
had,710,70
many,708,71
his,706,72
those,701,73
when,692,74
through,682,75
than,679,76
work,679,77
citizenship,678,78
out,645,79
up,642,80
like,638,81
most,627,82
do,624,83
t,622,84
over,617,85
them,604,86
world,603,87
left,598,88
time,592,89
even,592,90
science,581,91
between,557,92
democratic,554,93
movement,552,94
society,545,95
against,530,96
now,530,97
movements,527,98
being,527,99
where,520,100
politics,516,101
workers,511,102
while,487,103
way,470,104
because,467,105
policy,466,106
system,465,107
could,456,108
years,456,109
change,455,110
party,448,111
first,446,112
women,444,113
right,439,114
life,434,115
just,430,116
research,426,117
citizens,425,118
should,424,119
both,416,120
may,411,121
class,410,122
very,407,123
university,404,124
make,403,125
within,403,126
rights,401,127
any,400,128
national,398,129
well,395,130
working,386,131
own,386,132
under,385,133
states,382,134
process,382,135
economic,380,136
based,367,137
global,365,138
two,364,139
after,362,140
self,361,141
much,358,142
different,354,143
then,352,144
without,352,145
climate,352,146
part,341,147
country,341,148
law,339,149
see,339,150
need,338,151
here,335,152
become,331,153
radical,331,154
since,331,155
however,329,156
must,328,157
today,328,158
local,318,159
my,317,160
long,317,161
support,317,162
same,314,163
human,310,164
form,306,165
community,305,166
city,303,167
american,300,168
take,299,169
important,298,170
police,293,171
made,290,172
rather,290,173
often,289,174
free,288,175
does,287,176
might,287,177
struggle,284,178
media,281,179
labor,281,180
example,281,181
another,279,182
crisis,277,183
forms,276,184
capital,276,185
around,275,186
order,275,187
capitalist,271,188
think,270,189
still,270,190
immigration,268,191
themselves,268,192
united,264,193
anti,264,194
scientific,264,195
act,263,196
back,262,197
means,261,198
making,259,199
control,258,200
fact,258,201
popular,257,202
war,256,203
common,254,204
rojava,254,205
health,254,206
place,253,207
groups,252,208
case,251,209
her,247,210
group,247,211
use,246,212
international,245,213
across,242,214
ways,240,215
before,238,216
history,238,217
data,238,218
post,237,219
organization,237,220
scientists,237,221
real,234,222
itself,234,223
struggles,233,224
did,233,225
recent,233,226
capitalism,233,227
direct,232,228
point,232,229
union,230,230
institutions,230,231
already,230,232
down,229,233
question,228,234
action,226,235
austerity,225,236
far,225,237
beyond,224,238
year,223,239
european,222,240
future,222,241
economy,222,242
end,221,243
yet,221,244
evidence,220,245
revolution,218,246
collective,218,247
role,217,248
nation,216,249
less,215,250
she,215,251
education,214,252
policies,214,253
called,212,254
level,210,255
come,210,256
syriza,209,257
europe,208,258
communities,208,259
used,208,260
last,207,261
kurdish,207,262
members,207,263
greece,206,264
non,206,265
countries,206,266
your,205,267
among,204,268
re,203,269
security,203,270
administration,202,271
me,201,272
immigrants,201,273
individual,199,274
course,198,275
every,198,276
old,197,277
space,197,278
clear,196,279
including,195,280
citizen,195,281
production,193,282
day,192,283
don,192,284
each,191,285
others,191,286
too,190,287
alternative,189,288
get,188,289
federal,187,290
something,187,291
further,186,292
why,186,293
parties,185,294
revolutionary,185,295
decision,184,296
idea,184,297
strong,184,298
together,183,299
development,182,300
vote,181,301
solidarity,180,302
past,180,303
legal,180,304
uk,179,305
problem,179,306
terms,178,307
say,178,308
simply,178,309
freedom,177,310
trump,177,311
least,177,312
during,177,313
once,176,314
seen,176,315
number,175,316
sense,175,317
kind,175,318
put,173,319
good,172,320
issue,172,321
tax,172,322
white,172,323
cannot,172,324
current,172,325
debt,171,326
children,170,327
possible,170,328
sex,170,329
issues,170,330
century,170,331
president,169,332
greek,169,333
welfare,168,334
information,167,335
particular,167,336
set,167,337
justice,167,338
culture,166,339
income,166,340
resistance,166,341
instead,166,342
whether,166,343
forces,166,344
project,166,345
financial,166,346
large,165,347
america,163,348
never,163,349
result,162,350
open,162,351
activists,162,352
private,162,353
create,161,354
term,161,355
nature,161,356
food,160,357
book,160,358
services,160,359
few,160,360
said,160,361
decisions,160,362
despite,160,363
increasingly,159,364
market,159,365
assemblies,159,366
hand,159,367
always,158,368
towards,158,369
living,158,370
hope,156,371
language,155,372
early,155,373
especially,155,374
upon,155,375
london,154,376
find,154,377
autonomy,153,378
know,153,379
cultural,153,380
second,153,381
want,153,382
present,153,383
live,153,384
status,152,385
lives,152,386
wing,152,387
conditions,152,388
go,151,389
again,151,390
