Rank order,Type,Frequency
1,the,2331
2,of,1389
3,to,1217
4,and,1022
5,in,825
6,is,611
7,that,598
8,a,581
9,it,413
10,for,408
11,they,351
12,not,320
13,as,316
14,which,298
15,this,296
16,by,293
17,but,287
18,be,262
19,one,261
20,on,250
21,we,231
22,have,218
23,are,211
24,or,207
25,who,195
26,their,191
27,was,189
28,with,189
29,what,170
30,he,166
31,from,163
32,',158
33,his,158
34,i,155
35,at,152
36,you,142
37,has,140
38,if,139
39,our,138
40,all,137
41,were,132
42,an,131
43,galen,126
44,also,125
45,them,123
46,those,116
47,these,111
48,had,110
49,experience,103
50,there,102
51,would,96
52,some,95
53,so,93
54,when,91
55,no,89
56,other,88
57,will,81
58,such,80
59,do,78
60,even,74
61,men,73
62,about,73
63,us,73
64,more,72
65,only,72
66,then,71
67,reason,70
68,medical,68
69,own,68
70,been,68
71,way,65
72,medicine,64
73,should,62
74,city,61
75,out,59
76,just,58
77,case,58
78,greeks,57
79,pp,56
80,things,55
81,can,54
82,p,53
83,too,53
84,part,53
85,rather,53
86,than,53
87,first,53
88,its,53
89,kind,53
90,knowledge,52
91,how,52
92,same,51
93,nature,51
94,good,50
95,thus,50
96,both,50
97,though,49
98,theory,49
99,now,49
100,since,49
101,empiricists,49
102,any,49
103,most,49
104,art,47
105,see,47
106,many,46
107,socrates,46
108,because,46
109,athenians,46
110,war,45
111,she,45
112,does,44
113,say,44
114,particular,43
115,philosophy,42
116,against,41
117,b.c.,40
118,use,40
119,time,40
120,matter,39
121,themselves,39
122,vol,39
123,history,39
124,virtue,39
125,another,38
126,ancient,38
127,galen's,38
128,each,37
129,know,37
130,much,37
131,after,36
132,something,36
133,menexenus,36
134,view,36
135,think,35
136,could,35
137,position,35
138,thought,35
139,well,34
140,did,34
141,spartans,34
142,others,33
143,very,33
144,philosophical,33
145,two,32
146,into,32
147,greece,32
148,seems,32
149,empiricism,32
150,nor,32
151,practice,32
152,body,32
153,plato,32
154,here,31
155,through,31
156,hence,31
157,may,30
158,whole,30
159,great,30
160,de,30
161,apparent,30
162,given,30
163,her,30
164,speech,29
165,made,29
166,make,29
167,athens,29
168,praise,29
169,greek,29
170,over,29
171,place,29
172,thucydides,28
173,life,28
174,writings,28
175,before,28
176,athenian,28
177,human,27
178,whereas,27
179,take,27
180,long,26
181,called,26
182,become,26
183,me,26
184,like,26
185,doctor,25
186,still,25
187,fine,25
188,fact,25
189,itself,25
190,debate,25
191,tradition,25
192,century,25
193,man,24
194,often,24
195,whether,24
196,clear,24
197,able,24
198,present,24
199,deeds,24
200,came,24
201,views,24
202,doctors,24
203,philosophers,23
204,quite,23
205,being,23
206,pericles,23
207,logic,23
208,died,23
209,alone,23
210,up,23
211,come,23
212,general,23
213,find,23
214,either,23
215,empiricist,22
216,himself,22
217,cause,22
218,him,22
219,grote,22
220,already,22
221,try,21
222,let,21
223,right,21
224,methodists,21
225,persians,21
226,among,21
227,kuhn,21
228,remedies,21
229,manifest,21
230,certain,21
231,matters,21
232,never,21
233,method,21
234,power,21
235,theoretical,21
236,age,21
237,natural,21
238,rationalists,20
239,means,20
240,need,20
241,end,20
242,aristotle,20
243,fought,20
244,give,20
245,off,20
246,claim,20
247,your,20
248,rationalist,20
249,must,20
250,one's,20
251,indeed,20
252,amount,20
253,sea,20
254,inflammation,20
255,said,20
256,least,19
257,might,19
258,why,19
259,seen,19
260,yet,19
261,account,19
262,best,19
263,speak,19
264,where,19
265,theories,19
266,between,19
267,hand,18
268,three,18
269,treatises,18
270,having,18
271,true,18
272,nothing,18
273,fathers,18
274,children,18
275,v,17
276,third,17
277,mind,17
278,known,17
279,took,17
280,whom,17
281,diseases,17
282,indication,17
283,land,17
284,small,17
285,rest,17
286,eyes,17
287,battle,17
288,parts,17
289,behalf,17
290,treatment,16
291,believe,16
292,interest,16
293,barbarians,16
294,cases,16
295,without,16
296,understand,16
297,again,16
298,call,16
299,fluid,16
300,persian,15
301,communities,15
302,flux,15
303,done,15
304,due,15
305,science,15
306,tried,15
307,similar,15
308,ships,15
309,ed,15
310,else,15
311,noble,15
312,basis,15
313,point,15
314,outline,15
315,affection,15
316,sects,15
317,dispute,15
318,greatest,15
319,result,14
320,dogmatics,14
321,less,14
322,thing,14
323,possible,14
324,go,14
325,seemed,14
326,second,14
327,seem,14
328,questions,14
329,funeral,14
330,reputation,14
331,reasoning,14
332,cannot,14
333,taken,14
334,show,14
335,king,14
336,enough,14
